title,rank,star,quote,comment
浪潮,222,8.7,世界离独裁只有五天。,188670
源代码,223,8.4,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,560633
朗读者,224,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,351425
城市之光,225,9.3,永远的小人物，伟大的卓别林。,76624
步履不停,226,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,160174
小偷家族,227,8.7,我们组成了家。,517937
血钻,228,8.6,每个美丽事物背后都是滴血的现实。,225946
彗星来的那一夜,229,8.5,小成本大魅力。,319140
疯狂的麦克斯4：狂暴之路,230,8.6,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,335341
小萝莉的猴神大叔,231,8.4,宝莱坞的萝莉与大叔。,314355
再次出发之纽约遇见你,232,8.5,爱我就给我看你的播放列表。,274045
追随,233,8.9,诺兰的牛逼来源于内心散发出的恐惧。,120361
一次别离,234,8.7,只有有信仰的人才能说出事实真相。,183058
东京物语,235,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,82351
色，戒,236,8.4,假戏真情，爱欲深海,424075
遗愿清单,237,8.6,用剩余不多的时间，去燃烧整个生命。,225075
大佛普拉斯,238,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,231236
聚焦,239,8.8,新闻人的理性求真。,190537
驴得水,240,8.3,过去的如果就让它过去了，未来只会越来越糟！,588698
发条橙,241,8.5,我完全康复了。,263464
撞车,242,8.6,天使与魔鬼的冲撞。,236370
黑鹰坠落,243,8.7,还原真实而残酷的战争。,190530
梦之安魂曲,244,8.7,一场没有春天的噩梦。,155247
我爱你,245,9.0,你要相信，这世上真的有爱存在，不管在什么年纪 ,96833
E.T. 外星人,246,8.6,生病的E.T.皮肤的颜色就像柿子饼。,235462
千钧一发,247,8.8,一部能引人思考的科幻励志片。,152014
变脸,248,8.5,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,297390
末路狂花,249,8.7,没有了退路，只好飞向自由。,151447
四个春天,250,8.9,来也匆匆去也匆匆，就这样风雨兼程。,102787
